央视专线,#genre#
凤凰中文,http://ali.hlspull.yximgs.com/live/fa7cdfad1a5aaf8370eb7887844fh.flv
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
凤凰中文,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226308/index.m3u8
凤凰中文,https://playtv-live.ifeng.com/live/06OLEGEGM4G.m3u8
凤凰资讯,https://play-flive.ifeng.com/live/06OLEEWQKN4.flv
凤凰资讯,https://play-flive.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://171.214.224.243:55555/udp/239.93.0.118:2191
凤凰资讯,http://ali.hlspull.yximgs.com/live/huanqiuhklivetvjjpcpdvuejljyjjyfjoxvchjwhjwojjjhdjjlsjhbjfhjx.flv
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4.m3u8
凤凰资讯,http://playtv-live.ifeng.com/live/06OLEEWQKN4_audio.m3u8
凤凰资讯,http://210.210.155.37/qwr9ew/s/s21/01.m3u8
凤凰资讯,http://playtv-live.ifeng.com:80/live/06OLEEWQKN4.m3u8?zgangd
凤凰资讯,http://223.109.210.41/1301-tx.otvstream.otvcloud.com/otv/skcc/live/channel52002/index.m3u8
凤凰资讯,http://223.109.210.41/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221226320/index.m3u8
凤凰资讯,http://r.jdshipin.com/0Rp07
凤凰资讯,http://210.210.155.35:80/qwr9ew/s/s21/01.m3u8
凤凰香港,http://113.64.145.61:8081/hls/38/index.m3u8
凤凰香港,http://50.7.238.114:8278/hkphoenix_twn/playlist.m3u8?tid=MA5A4571836345718363&ct=19234&tsum=9d461ede3a5ecfa182b75574f86ae56a
凤凰香港,http://50.7.238.114:8278/hkphoenix_twn/playlist.m3u8?tid=MD0D2495250724952507&ct=19249&tsum=b1c0a577a7f4aaa9af143d124ba24a40
凤凰香港,http://198.16.100.90:8278/hkphoenix_twn/playlist.m3u8?tid=MD0D2495250724952507&ct=19249&tsum=b1c0a577a7f4aaa9af143d124ba24a40
凤凰香港,http://50.7.238.114:8278/hkphoenix_twn/playlist.m3u8?tid=MACA2858291128582911&ct=19225&tsum=0f01288bbaa6c0403d07e96b0a5db4ed
凤凰香港,https://ktpremium.com:443/K3939/6757/492400
凤凰香港,https://ktpremium.com:443/M919HR/5577/492400?c=
卫视频道,#genre#
湖南卫视,http://125.78.15.129:4022/rtp/239.61.2.31:8180
浙江卫视,http://125.78.15.129:4022/rtp/239.61.2.29:8168
江苏卫视,http://125.78.15.129:4022/rtp/239.61.2.30:8174
海峡卫视,http://125.78.15.129:4022/rtp/239.61.2.151:8894
三沙卫视,http://125.78.15.129:4022/rtp/239.61.3.10:9578
东方卫视,http://125.78.15.129:4022/rtp/239.61.2.28:8162
北京卫视,http://125.78.15.129:4022/rtp/239.61.2.32:8186
广东卫视,http://125.78.15.129:4022/rtp/239.61.2.33:8192
上海卫视,http://59.62.8.250:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://219.145.93.74:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
上海卫视,http://106.46.114.29:8011/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
上海卫视,http://58.53.152.137:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://125.78.15.129:4022/rtp/239.61.2.182:9080
云南卫视,http://125.78.15.129:4022/rtp/239.61.2.61:8360
河北卫视,http://125.78.15.129:4022/rtp/239.61.2.57:8336
河南卫视,http://125.78.15.129:4022/rtp/239.61.2.59:8348
海南卫视,http://125.78.15.129:4022/rtp/239.61.2.42:8246
深圳卫视,http://125.78.15.129:4022/rtp/239.61.3.46:9794
湖北卫视,http://125.78.15.129:4022/rtp/239.61.2.120:8714
重庆卫视,http://125.78.15.129:4022/rtp/239.61.2.250:9488
教育频道,#genre#
福建教育高清,http://27.148.240.138/PLTV/88888888/224/3221226884/1.m3u8
中国教育1,http://125.78.15.129:4022/rtp/239.61.2.167:8990
中国教育2,http://125.78.15.129:4022/rtp/239.61.3.6:9554
中国教育4,http://125.78.15.129:4022/rtp/239.61.3.15:9608
金色学堂,http://125.78.15.129:4022/rtp/239.61.2.78:8462
